_id	listing_url	property_type	room_type	bed_type	minimum_nights	maximum_nights	cancellation_policy	first_review	last_review	accommodates	bedrooms	beds	number_of_reviews	bathrooms	amenities	price	security_deposit	cleaning_fee	extra_people	guests_included	weekly_price	monthly_price	reviews_per_month	review_scores_accuracy	review_scores_cleanliness	review_scores_checkin	review_scores_communication	review_scores_location	review_scores_value	review_scores_rating	availability_30	availability_60	availability_90	availability_365	host_response_time	host_response_rate	host_is_superhost	host_has_profile_pic	host_identity_verified	host_listings_count	host_total_listings_count	address_country_code	address_location_coordinates	address_location_is_location_exact
21669322	https://www.airbnb.com/rooms/21669322	Apartment	Entire home/apt	Real Bed	2	29	strict_14_with_grace_period	2017-12-14T05:00:00Z	2018-12-30T05:00:00Z	3	0	1	6	1		180	200	50	50	3	NA	NA	NA	9	10	10	10	10	10	97	0	0	0	0	within an hour	100	FALSE	TRUE	TRUE	1	1	US		TRUE
21672349	https://www.airbnb.com/rooms/21672349	Apartment	Entire home/apt	Real Bed	3	12	strict_14_with_grace_period	2017-12-03T05:00:00Z	2018-11-25T05:00:00Z	2	1	1	10	1		98	NA	40	0	1	NA	NA	NA	10	10	10	10	9	10	98	1	1	1	1	within a day	100	FALSE	TRUE	TRUE	1	1	US		TRUE
21675318	https://www.airbnb.com/rooms/21675318	Apartment	Shared room	Real Bed	1	8	flexible	2017-12-13T05:00:00Z	2017-12-13T05:00:00Z	2	1	1	1	1		79	NA	NA	0	1	NA	NA	NA	10	10	10	10	10	10	100	0	0	0	0	NA	NA	FALSE	TRUE	FALSE	1	1	HK		FALSE
21684913	https://www.airbnb.com/rooms/21684913	House	Entire home/apt	Real Bed	7	1125	flexible	2019-03-03T05:00:00Z	2019-03-03T05:00:00Z	4	2	3	1	2		343	0	320	0	1	NA	NA	1	10	10	10	10	10	10	100	30	60	90	91	within a day	92	FALSE	TRUE	TRUE	34	34	AU		TRUE
21686404	https://www.airbnb.com/rooms/21686404	House	Entire home/apt	Real Bed	1	20	strict_14_with_grace_period	2017-11-26T05:00:00Z	2018-02-18T05:00:00Z	5	3	3	6	2		597	1000	300	200	3	NA	NA	NA	10	10	10	9	9	9	92	0	0	0	0	within an hour	98	FALSE	TRUE	FALSE	30	30	HK		TRUE
21716100	https://www.airbnb.com/rooms/21716100	House	Entire home/apt	Real Bed	5	12	moderate	2017-12-31T05:00:00Z	2018-01-05T05:00:00Z	8	4	6	2	3		1100	1000	250	0	1	NA	NA	NA	9	9	10	10	9	10	90	0	0	4	185	NA	NA	FALSE	TRUE	FALSE	1	1	AU		TRUE
21762139	https://www.airbnb.com/rooms/21762139	Apartment	Entire home/apt	Real Bed	3	1125	moderate	2018-03-05T05:00:00Z	2018-10-14T04:00:00Z	8	4	4	13	4		220	200	50	25	6	NA	NA	NA	10	9	10	10	10	10	97	21	45	61	323	within an hour	100	TRUE	TRUE	TRUE	82	82	PT		TRUE
21786064	https://www.airbnb.com/rooms/21786064	Apartment	Private room	Real Bed	5	40	flexible	2017-12-07T05:00:00Z	2017-12-07T05:00:00Z	2	1	1	1	1		20	NA	NA	0	1	NA	NA	NA	10	8	10	10	10	10	100	0	0	0	0	within a day	80	FALSE	TRUE	FALSE	2	2	CA		TRUE
21807569	https://www.airbnb.com/rooms/21807569	Apartment	Entire home/apt	Real Bed	1	1125	flexible	NA	NA	6	2	4	0	1		145	NA	NA	0	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	30	60	88	358	within a day	100	FALSE	TRUE	TRUE	6	6	PT		TRUE
21819120	https://www.airbnb.com/rooms/21819120	Apartment	Private room	Real Bed	1	1125	strict_14_with_grace_period	2017-12-03T05:00:00Z	2019-01-21T05:00:00Z	2	0	1	41	1		589	NA	250	0	1	NA	NA	NA	10	9	10	9	10	9	91	17	47	77	167	within an hour	97	FALSE	TRUE	TRUE	6	6	HK		TRUE
21842463	https://www.airbnb.com/rooms/21842463	Aparthotel	Private room	Real Bed	1	30	strict_14_with_grace_period	NA	NA	4	1	3	0	1		211	0	0	101	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	12	42	72	292	within a day	100	FALSE	TRUE	TRUE	24	24	TR		TRUE
21844137	https://www.airbnb.com/rooms/21844137	House	Private room	Real Bed	3	1125	strict_14_with_grace_period	2018-02-21T05:00:00Z	2018-02-21T05:00:00Z	2	1	1	1	2		35	0	0	10	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	0	0	NA	NA	FALSE	TRUE	FALSE	1	1	ES		FALSE
2187155	https://www.airbnb.com/rooms/2187155	Apartment	Private room	Real Bed	1	1125	flexible	NA	NA	6	1	6	0	2		2611	NA	NA	0	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	30	60	90	365	NA	NA	FALSE	TRUE	FALSE	1	1	BR		TRUE
21883829	https://www.airbnb.com/rooms/21883829	Apartment	Entire home/apt	Real Bed	4	50	strict_14_with_grace_period	NA	NA	6	4	4	0	1		40	100	50	10	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	30	60	90	365	within a day	75	FALSE	TRUE	FALSE	2	2	PT		TRUE
2190616	https://www.airbnb.com/rooms/2190616	Apartment	Entire home/apt	Real Bed	4	29	strict_14_with_grace_period	2014-04-12T04:00:00Z	2019-02-21T05:00:00Z	4	1	2	257	1		120	100	NA	30	2	NA	NA	NA	10	10	10	10	10	10	97	14	26	34	69	within an hour	100	TRUE	TRUE	FALSE	1	1	ES		TRUE
21929645	https://www.airbnb.com/rooms/21929645	Aparthotel	Private room	Real Bed	1	365	flexible	NA	NA	3	5	15	0	5		264	NA	NA	53	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	29	59	89	364	NA	NA	FALSE	TRUE	FALSE	1	1	TR		FALSE
